0.230,	-0.068,	1.560,	Flat
0.184,	-0.127,	1.777,	Flat
0.076,	-0.195,	1.905,	Flat
0.023,	-0.210,	1.717,	Flat
-0.126,	-0.308,	1.369,	Flat
-0.004,	0.035,	1.172,	Flat
0.007,	0.196,	1.064,	Flat
-0.094,	0.116,	0.695,	Flat
0.035,	0.217,	0.209,	Flat
-0.187,	0.098,	0.185,	Flat
-0.293,	-0.061,	0.135,	Flat
-0.353,	-0.215,	0.110,	Flat
-0.289,	-0.190,	0.087,	Flat
-0.232,	-0.067,	0.179,	Flat
-0.279,	0.039,	0.402,	Flat
-0.333,	0.136,	0.817,	Flat
-0.526,	-0.316,	1.556,	Flat
-0.356,	-0.379,	1.879,	Flat
-0.289,	-0.331,	1.999,	Flat
-0.075,	-0.168,	1.999,	Flat
-0.108,	-0.600,	1.478,	Flat
0.462,	-0.236,	1.504,	Flat
0.696,	-0.217,	1.337,	Flat
0.835,	-0.113,	1.105,	Flat
0.757,	-0.225,	1.021,	Flat
0.728,	-0.204,	0.965,	Flat
0.521,	-0.288,	0.913,	Landscape Right
0.361,	-0.206,	1.096,	Landscape Right
0.219,	0.000,	1.731,	Landscape Right
-0.056,	-0.155,	1.883,	Landscape Right
-0.072,	0.069,	1.999,	Landscape Right
-0.393,	-0.286,	1.698,	Landscape Right
-0.070,	-0.013,	1.077,	Landscape Right
-0.213,	-0.129,	0.406,	Landscape Right
-0.132,	0.075,	0.197,	Flat
-0.208,	0.191,	0.126,	Flat
-0.299,	0.218,	0.002,	Flat
-0.398,	0.116,	0.088,	Flat
-0.427,	0.002,	0.101,	Flat
-0.430,	0.149,	0.227,	Flat
-0.442,	0.362,	0.608,	Flat
-0.502,	0.339,	1.054,	Flat
-0.339,	0.261,	1.652,	Flat
-0.159,	0.023,	1.999,	Flat
-0.066,	-0.177,	1.999,	Flat
-0.011,	-0.242,	1.999,	Flat
-0.076,	-0.453,	1.999,	Flat
0.316,	-0.694,	1.930,	Flat
0.403,	-0.210,	1.705,	Flat
0.682,	-0.191,	1.054,	Flat
0.837,	-0.038,	0.800,	Flat
0.786,	0.241,	1.035,	Flat
0.630,	0.122,	1.048,	Landscape Right
0.400,	-0.188,	0.956,	Landscape Right
0.331,	0.154,	1.856,	Landscape Right
-0.043,	-0.184,	1.954,	Landscape Right
-0.124,	-0.337,	1.706,	Landscape Right
-0.221,	-0.114,	1.748,	Landscape Right
-0.225,	0.018,	1.067,	Landscape Right
